bucket,prompt,input_tokens,generated_tokens,ttft_ms,decode_time_s,total_time_s,tokens_per_sec,ms_per_token,tbt_mean_ms,tbt_p50_ms,tbt_p90_ms,tbt_p95_ms,energy_prefill_j,energy_decode_j,energy_total_j,energy_per_token_mj,avg_power_w,edp,peak_mem_mb,model
short,Why do IT companies file patents on software?,9,128,74.6283084154129,5.655531197786331,5.730290193110704,22.33743766657563,44.76789213367738,44.531221230199016,46.098001301288605,46.40303924679756,46.604685857892036,7.636186561513985,574.2971358110103,579.0908429495767,4524.147210543568,102.32292173913045,3318.35857827417,5443.34228515625,Qwen2.5-7B
long,"Part 8 The builder relied on an amended Notice of Appeal dated 27 October 2021, although leave to am...",739,128,565.1607438921928,4.657925151288509,5.223312541842461,24.5055219220808,40.807129233144224,36.67607396019725,36.424215883016586,36.632139980793,36.750685423612595,61.96327729566768,589.7594639960116,656.7465085664539,5130.832098175421,126.34720952380951,3430.3922750064057,5571.2041015625,Qwen2.5-7B
long,"Can you give step by step explanation for the below given code:

# https://deeplearningcourses.com/c...",441,128,422.4957823753357,4.935717172920704,5.358402147889137,23.887718104626337,41.862516780383885,38.86342066244816,36.55386343598366,36.81860268115997,37.270089983940125,30.952047696251423,578.3750311399233,613.4203758362476,4792.346686220684,115.86914953271028,3286.9530594399107,5506.93701171875,Qwen2.5-7B
long,"“list up” stage : 1. The ""listed"" contents have numbers. 2. Look at the title of the subject and lis...",262,128,232.6885461807251,4.724881961941719,4.957679685205221,25.8185296605546,38.73187254066579,37.20329467236527,36.593418568372726,36.807192116975784,36.87383718788624,16.090864946991204,575.1619369996602,597.2515287706852,4666.027568520978,121.2212121212121,2960.981771144188,5479.25146484375,Qwen2.5-7B
long,"-- LABORATION 1 - INSTRUKTIONER --
-- 1. Skapa en vy (MovieGenre) som listar alla filmer och deras g...",927,128,587.9821479320526,4.716506455093622,5.304676864296198,24.129650735470857,41.442788002314046,37.13734682620041,36.71407327055931,36.864952743053436,36.91099248826504,49.148080001246186,578.3244860965051,632.519516568467,4941.558723191149,120.61141509433962,3355.3116457565625,5636.015625,Qwen2.5-7B
short,what is git flow,4,128,82.36879855394363,4.8687961138784885,4.951227858662605,25.852173168732847,38.681467645801604,38.336475709761224,36.43391653895378,36.70910522341728,36.77942678332329,10.029808981590651,591.9132727260608,595.7749430219512,4654.491742358994,121.76709090909092,2949.8174953834114,5442.74853515625,Qwen2.5-7B
long,"Here is some information about a product. 

A belt bag specifically for portable, battery opearted b...",433,128,400.6294272840023,4.7625504694879055,5.163370732218027,24.790007659398707,40.33883384545334,37.49989844330653,36.653291434049606,36.954402923583984,37.34424337744713,29.14613483391702,568.927848358577,603.5195736724045,4714.99666931566,118.50633980582522,3116.1953030207947,5505.98779296875,Qwen2.5-7B
long,"create text based rtf for mindmeister below:
Competitive analysis and market differentiation:
a. Con...",669,128,559.355366975069,5.678989917039871,6.238551076501608,20.517584681181862,48.73868028516881,44.715959138757604,46.48032411932945,46.72860503196716,46.821434795856476,37.856166844243184,531.8857496405784,573.4795698935203,4480.3091397931275,92.86893600000002,3577.6815881109,5547.072265625,Qwen2.5-7B
long,"Introducing Our Domain
Steve and I both have a love for animals. In fact, Steve's wife, Michelle, is...",490,128,411.7369130253792,5.178200479596853,5.5901317447423935,22.897492553800006,43.67290425579995,40.77273422456163,36.84762865304947,37.00064718723297,37.66856752336025,42.794211079215636,614.2373225609118,662.518241423346,5175.9237611198905,119.5290267857143,3703.5642528515514,5516.228515625,Qwen2.5-7B
long,"import { catchError, from, map, mergeAll, mergeMap, Observable, of, pipe, Subscription } from 'rxjs'...",832,128,475.090641528368,4.682615790516138,5.157873690128326,24.81642779368166,40.29588820412755,36.87048366102646,36.76680475473404,36.84898912906647,36.95143423974514,38.86097318043187,566.4854554000012,611.1662235628515,4774.736121584778,119.91030097087382,3152.318184809919,5603.9521484375,Qwen2.5-7B
medium,"#Instructions:.
Pretend you are AltHistBot, an AI specifically made to simulate alternate histories....",215,128,210.16662195324898,4.701737590134144,4.9119947999715805,26.05865950850367,38.37495937477797,37.02102874325016,36.53097152709961,36.74854338169098,37.03381307423115,10.81285500128381,557.4841602483037,572.4841912657655,4472.532744263793,118.12312244897961,2812.039370563376,5472.3486328125,Qwen2.5-7B
medium,Can you write again those 10 contextual nudges personalized for each different type of members of An...,189,128,409.38765555620193,4.720622517168522,5.130105823278427,24.95075236444163,40.07895174436271,37.16975559047827,36.585744470357895,36.76262870430946,37.294289097189896,32.50954603083059,573.1975123888964,610.2922092167214,4767.907884505636,119.85482524271845,3130.8636164041586,5467.82666015625,Qwen2.5-7B
long,With the information in this link: https://unitaremail-my.sharepoint.com/:w:/g/personal/michael\_afo...,697,128,520.9547728300095,4.671575989574194,5.192738018929958,24.64980893189299,40.5682657728903,36.78356307580715,36.660246551036835,36.775700747966766,36.82917021214962,53.166956563320014,580.947802891912,640.3090497452301,5002.41445113461,124.43586538461538,3324.9571464769706,5556.724609375,Qwen2.5-7B
