policy,bucket,prompt,input_tokens,generated_tokens,prefill_delay_ms,decode_delay_ms,ttft_ms,decode_time_s,total_time_s,tokens_per_sec,ms_per_token,tbt_mean_ms,tbt_p50_ms,tbt_p90_ms,tbt_p95_ms,energy_prefill_j,energy_decode_j,energy_total_j,energy_per_token_mj,avg_power_w,edp,peak_mem_mb,throttle_level
default,medium,Initialization: Create an initial population of candidate solutions (often rando...,140,128,0.0,0.0,176.38489976525307,5.542166229337454,5.718654360622168,22.382887988718046,44.676987192360684,43.63858239270571,47.52146452665329,47.94624522328377,48.11517819762229,13.276227668769659,547.2888350922019,563.756062350057,4404.344237109821,99.1177192982456,3223.9260642853365,5458.50927734375,light
default,medium,Rewrite the documents above (Month 4 and Month 11) and label the months with the...,82,128,0.0,0.0,146.22024446725845,4.818322215229273,4.964614648371935,25.782464313111497,38.78605194040574,37.9389656751644,37.682048976421356,37.89941668510437,38.24608512222766,8.10409309316054,545.0907773120236,555.6838813729753,4341.28032322637,112.35408585858588,2758.7563373284456,5450.4814453125,light
default,long,You are a partner in a commercial team at a large global law firm based in the U...,662,128,0.0,0.0,388.4532041847706,4.950962696224451,5.339573830366135,23.971950583783396,41.71542054973543,38.98344661189815,37.625569850206375,37.74968534708023,37.87698931992054,33.42395699816197,567.6815007493981,603.7910129440613,4717.117288625479,113.42702816901408,3223.98669172637,5543.6357421875,light
default,short,write some code that removes whitespace in js,8,128,0.0,0.0,72.69204035401344,4.802963707596064,4.87571594491601,26.252554793202776,38.09153081965633,37.818085431583285,37.671253085136414,37.87925988435745,37.99119256436825,1.5467679834272712,532.4861757842638,535.5450502116922,4183.9457047788455,110.49095876288659,2611.165540537993,5441.69970703125,light
default,short,compile a list of all pokemon mentioned in any prompt above including the gym le...,46,128,0.0,0.0,91.09509736299515,4.882816229015589,4.973970539867878,25.7339682601739,38.8591448427178,38.446850928030614,37.51252591609955,37.73875832557678,38.08562159538269,3.494087661020458,571.2333729635739,576.5411677192376,4504.227872806544,116.5890101010101,2867.698783256513,5446.38427734375,light
default,medium,Write a story about a mother taking her toddler daughter to the bathroom after a...,94,128,0.0,0.0,200.56558027863503,4.800156116485596,5.000837028026581,25.595715133814522,39.06903928145766,37.79597263636551,37.73855045437813,38.00778165459633,38.15492317080498,11.196782907541841,538.8919139179177,552.1211457407007,4313.446451099225,111.06606030150753,2761.0678695765564,5452.5556640625,light
default,long,"Act as the prompt generator and I will give you the main keywords by: Product, F...",408,128,0.0,0.0,269.98867839574814,4.890957817435265,5.161132011562586,24.80076070777478,40.3213438403327,38.51096628336456,37.76005282998085,37.912245094776154,38.14324364066124,20.811985556036234,544.1604835509304,567.1444937407355,4430.816357349496,110.18340776699029,2927.1076018267663,5500.57568359375,light
default,long,"Tables:
CREATE TABLE `crm\_account` (
 `CustomerID` varchar(255) NOT NULL,
 `Cus...",881,128,0.0,0.0,553.9199113845825,4.778091266751289,5.332237798720598,24.004930918630816,41.658107802504674,37.62225569115849,37.452712655067444,37.612029910087585,37.646206095814705,55.3425051916819,559.701182441529,618.1904113293607,4829.61258851063,116.6987641509434,3296.3382780970514,5619.609375,light
default,medium,Write me a story about Jack and Phil on a construction site. Jack is having a ba...,95,128,0.0,0.0,139.21548798680305,4.8268130868673325,4.966088030487299,25.77481494774066,38.79756273818202,38.00588740607885,37.63851523399353,37.85463199019432,38.176027685403824,6.6576421445664025,558.4055326598602,566.6576649641469,4427.013007532398,114.60075252525255,2814.071847362332,5452.638671875,light
default,short,generate the job descriptions for the developers respectively,8,128,0.0,0.0,78.32200452685356,4.801908187568188,4.880287908017635,26.22796081143364,38.127249281387776,37.80969648849307,37.41554915904999,37.64311671257019,37.692562118172646,3.2291040725335476,579.9537452364378,585.934422312323,4577.6126743150235,120.25714358974358,2859.5286761021284,5441.69970703125,light
default,short,Why do IT companies file patents on software?,9,128,0.0,0.0,75.36179199814796,4.786956429481506,4.862376481294632,26.324576159910876,37.98731626011431,37.692065020715155,37.48643770813942,37.691959738731384,37.822653353214264,3.9305554087087513,565.3506096984652,571.2444948635381,4462.847616121391,117.9709793814433,2777.6057968934997,5441.81884765625,light
default,medium,5. Explain the impact of the following transactions on a company's income statem...,126,128,0.0,0.0,141.59220084547997,5.023238737136126,5.164890371263027,24.782713823352413,40.3507060254924,39.55253703505036,37.76981309056282,37.90163993835449,38.022810220718384,6.759804697588086,571.6157550709471,579.9893923071398,4531.16712739953,112.69539320388348,2995.581627761841,5456.2080078125,light
default,medium,I want you to act as a cyber security specialist. I will provide some specific i...,81,128,0.0,0.0,120.42762711644173,4.8221129439771175,4.94262870028615,25.897150638199776,38.61428672098555,37.96888037225393,37.66834735870361,37.9327155649662,38.55490088462829,4.890385272314773,541.1480068232324,547.6456875388511,4278.481933897275,111.3325076142132,2706.809292817467,5450.36328125,light
default,long,"// store/inventorySlice.ts

import {createSlice, current} from '@reduxjs/toolkit...",699,128,0.0,0.0,545.781634747982,4.787809167057276,5.333811227232218,23.997849670135555,41.6704002127517,37.69877784716801,37.53753751516342,37.659139186143875,37.77943477034569,48.82767505266517,552.4123806643765,603.3284795410317,4713.50374641431,113.37595305164317,3218.040217884898,5556.390625,light
default,medium,Create a powershell script that allows me to choose several different .csv files...,84,128,0.0,0.0,157.89614245295525,4.7917593233287334,4.949718177318573,25.860058171906235,38.66967326030135,37.729879239882074,37.58319839835167,37.84797489643097,37.97077722847462,8.1481774993632,535.2386137028225,544.9791580567193,4257.649672318119,110.78404060913707,2697.493244893115,5450.71875,light
default,long,"please implement and modify this code with the code you have provided

php
 $jso...",802,128,0.0,0.0,550.337664783001,4.784099075943232,5.334666032344103,23.99400435265028,41.677078377688304,37.669563915316516,37.51073405146599,37.6314714550972,37.66835518181324,45.00813644127548,578.2869117549174,625.4420967239812,4886.266380656103,117.51706572769955,3336.5247085914975,5591.8994140625,light
default,short,can you write me a rap song about rainbows and unicorns in the style of Joyner L...,20,128,0.0,0.0,83.65073800086975,4.792252089828253,4.875961646437645,26.25123191719857,38.0934503627941,37.73376498166032,37.56341710686684,37.726860493421555,37.80665248632431,3.5699248208776115,539.0810566336476,544.7577588701434,4255.919991172996,112.45400515463916,2656.2179388501463,5443.12353515625,light
